Date,Month,Year,EMS,Wind,Temp_mean,H2O,Sunspots,Sud_Imp,Sud_Storm,Dst_mean,Dst_var,Dst_group,PC1,PC2
2007-01-23,1,2007,10,2,-12.9,0,17,No,No,-11,13,level_1,-0.36491097366308034,0.25088971873399724
2007-01-24,1,2007,4,4,-14.9,0,19,No,No,-7,16,level_1,0.837425054679195,-1.0164104402236993
2007-01-25,1,2007,11,4,-15.8,0,14,No,No,-4,12,level_1,1.9075586236287823,-0.00692054860518336
2007-01-26,1,2007,6,3,-15.8,0,12,No,No,-8,16,level_1,0.6540902467885841,0.6221909439228583
2007-01-27,1,2007,5,2,-11.4,0,12,No,No,-5,10,level_1,1.575080788864816,0.08512442449277374
2007-01-28,1,2007,3,7,-9.4,0.2,14,No,No,-3,12,level_1,2.3344886849271123,0.24562177903928697
2007-01-29,1,2007,6,7,-16.7,0,31,No,No,-14,59,level_2,-1.2905480934515035,-6.171896434943578
2007-01-30,1,2007,8,3,-13.6,2,35,No,No,-33,24,level_2,-7.319538604669925,1.6263790913308551
2007-01-31,1,2007,4,5,-13.5,0,35,No,No,-26,18,level_2,-5.110688380614575,-0.36340157791557237
2007-02-01,2,2007,5,5,-9.4,0,38,No,No,-23,15,level_2,-4.262708519770932,0.11690269132098124
2007-02-02,2,2007,7,5,-6.2,0,41,No,No,-18,12,level_2,-2.767255004945947,-0.1332793059729597
2007-02-03,2,2007,8,3,-5.3,0.7,36,No,No,-14,6,level_1,-1.4286399131557792,0.12155836425725866
2007-02-04,2,2007,8,1,-4.9,2.2,29,No,No,-11,15,level_1,-0.4631554361217557,-0.1625715622171016
2007-02-05,2,2007,6,2,-9.1,0.2,27,No,No,-12,28,level_2,-0.6908575481745152,-3.0427746977158883
2007-02-06,2,2007,5,3,-8.9,0.7,26,No,No,-19,20,level_2,-2.9699357977472665,1.9801773449019273
2007-02-07,2,2007,3,4,-8.8,0,26,No,No,-18,13,level_2,-2.514832475551028,-0.5254386066682541
2007-02-08,2,2007,4,3,-9.2,2.3,14,No,No,-19,15,level_2,-2.8147380511141264,0.6510663104664008
2007-02-09,2,2007,4,2,-6.5,0,12,No,No,-18,13,level_2,-2.50939895275494,-0.24788486968637427
2007-02-10,2,2007,2,2,-8.2,0,12,No,No,-18,17,level_2,-2.656943502318129,-0.21686916030795989
2007-02-11,2,2007,5,1,-8.4,0,0,No,No,-20,15,level_2,-3.1382644580534818,0.6116706718240276
2007-02-12,2,2007,4,3,-8.7,2.2,0,No,No,-4,25,level_1,1.9521979922447874,1.4626654582666887
2007-02-13,2,2007,4,2,-15,0.3,0,No,No,-11,28,level_2,-0.2588991540724993,-0.891894055588568
2007-02-14,2,2007,5,5,-13,0,0,No,No,-28,21,level_2,-5.65972050904225,-0.11526022833824295
2007-02-15,2,2007,5,5,-9.6,0,0,No,No,-21,16,level_2,-3.71626040378641,0.7394410167841623
2007-02-16,2,2007,5,3,-13.8,0.8,0,No,No,-18,15,level_2,-2.6823315957566725,-0.7001831985383338
2007-02-17,2,2007,12,3,-15.1,0,14,No,No,-22,11,level_2,-3.7509112907063713,0.1343953728920781
2007-02-18,2,2007,4,3,-15,0.5,14,No,No,-16,13,level_2,-2.0998695541012182,0.2710551180582065
